phase,t_s,error_m,est_n,est_e,truth_n,truth_e
denied,138.712,3.9219,18.941,593.067,17.916,589.281
denied,138.812,3.5913,17.561,591.896,16.777,588.391
denied,138.912,3.3836,16.323,590.816,15.638,587.502
denied,139.012,3.0622,15.006,589.633,14.499,586.613
denied,139.112,3.0890,13.817,588.551,13.122,585.541
denied,139.212,2.7810,12.540,587.378,11.983,584.654
denied,139.313,2.4498,11.278,586.224,10.890,583.805
denied,139.412,2.2897,10.127,585.179,9.750,582.921
denied,139.512,2.3852,8.996,584.156,8.371,581.854
denied,139.612,2.1666,7.785,583.068,7.229,580.974
denied,139.712,2.0176,6.675,582.076,6.134,580.132
denied,139.812,1.7957,5.483,581.032,5.038,579.292
denied,139.912,1.9501,4.390,580.096,3.703,578.272
denied,140.012,1.8790,3.213,579.106,2.510,577.363
denied,140.112,1.9293,2.129,578.206,1.316,576.456
denied,140.212,1.8336,0.957,577.243,0.168,575.587
denied,140.312,1.8858,-0.126,576.340,-1.027,574.684
denied,140.412,1.7784,-1.298,575.364,-2.176,573.817
denied,140.512,1.7757,-2.378,574.453,-3.326,572.951
denied,140.612,1.9610,-3.547,573.481,-4.715,571.906
denied,140.712,2.0372,-4.624,572.582,-5.914,571.005
denied,140.812,1.8767,-5.803,571.608,-7.017,570.177
denied,140.912,1.9287,-6.914,570.700,-8.216,569.277
denied,141.012,1.7913,-8.136,569.714,-9.367,568.413
denied,141.112,1.5824,-9.427,568.694,-10.519,567.549
denied,141.213,1.8507,-10.586,567.797,-11.910,566.504
denied,141.317,1.6378,-11.856,566.835,-13.013,565.675
denied,141.417,1.6154,-13.029,565.960,-14.163,564.810
denied,141.517,1.5295,-14.313,565.020,-15.361,563.907
denied,141.617,1.5118,-15.499,564.163,-16.509,563.038
denied,141.718,1.7297,-16.798,563.247,-17.943,561.950
denied,141.817,1.7166,-18.005,562.409,-19.088,561.077
denied,141.918,1.6590,-19.316,561.517,-20.278,560.165
denied,142.018,1.6182,-20.503,560.689,-21.371,559.323
denied,142.117,1.5330,-21.750,559.773,-22.509,558.440
denied,142.218,1.6172,-22.875,558.913,-23.690,557.517
denied,142.317,1.5397,-24.070,557.969,-24.821,556.625
denied,142.417,1.6291,-25.157,557.088,-25.996,555.692
denied,142.517,1.8400,-26.319,556.125,-27.353,554.603
denied,142.617,1.8231,-27.381,555.229,-28.425,553.735
denied,142.717,1.7540,-28.521,554.252,-29.541,552.825
denied,142.817,1.7993,-29.566,553.344,-30.652,551.910
denied,142.917,2.0283,-30.689,552.356,-31.990,550.800
denied,143.017,2.1258,-31.730,551.429,-33.140,549.838
denied,143.117,2.0138,-32.879,550.395,-34.240,548.910
denied,143.218,2.0636,-33.948,549.424,-35.382,547.940
denied,143.317,1.9177,-35.113,548.355,-36.475,547.005
denied,143.418,1.8886,-36.189,547.361,-37.565,546.066
denied,143.517,1.7957,-37.352,546.276,-38.696,545.085
denied,143.618,2.0072,-38.422,545.271,-39.960,543.981
denied,143.717,1.9162,-39.578,544.177,-41.084,542.992
denied,143.818,1.8298,-40.640,543.162,-42.115,542.079
denied,143.917,1.7419,-41.789,542.057,-43.233,541.084
denied,144.019,1.7205,-42.844,541.035,-44.303,540.125
denied,144.117,1.5867,-43.979,539.926,-45.370,539.162
denied,144.218,1.8107,-45.021,538.902,-46.611,538.036
denied,144.318,1.6887,-46.145,537.789,-47.672,537.068
denied,144.417,1.6877,-47.177,536.759,-48.729,536.097
denied,144.517,1.7993,-48.293,535.638,-49.959,534.960
denied,144.617,1.8583,-49.317,534.602,-51.054,533.942
denied,144.717,1.8105,-50.422,533.476,-52.146,532.921
denied,144.817,1.8221,-51.438,532.435,-53.191,531.938
denied,144.917,1.7375,-52.532,531.306,-54.233,530.953
denied,145.017,1.7624,-53.536,530.264,-55.273,529.965
denied,145.118,1.8904,-54.620,529.133,-56.482,528.809
denied,145.217,1.8708,-55.616,528.086,-57.473,527.857
denied,145.317,1.8594,-56.692,526.947,-58.547,526.820
denied,145.417,1.8935,-57.683,525.893,-59.575,525.822
denied,145.517,533.7802,215.882,981.349,-60.644,524.780
denied,145.617,533.8477,214.921,980.320,-61.711,523.737
denied,145.717,533.9728,213.890,979.195,-62.899,522.561
denied,145.817,533.9831,212.964,978.144,-63.895,521.540
denied,145.917,533.8825,211.998,976.994,-64.860,520.507
denied,146.017,533.8433,211.148,975.918,-65.748,519.500
denied,146.117,534.0405,210.277,974.732,-66.807,518.198
denied,146.217,534.1267,209.517,973.611,-67.667,517.037
denied,146.317,534.1056,208.744,972.362,-68.478,515.836
denied,146.417,534.2033,208.080,971.176,-69.239,514.594
denied,146.517,534.1311,207.414,969.856,-69.921,513.367
denied,146.617,534.2286,206.852,968.602,-70.577,512.057
denied,146.717,534.1514,206.300,967.209,-71.157,510.772
denied,146.817,534.2437,205.840,965.897,-71.711,509.409
denied,146.922,534.2218,205.393,964.452,-72.216,508.024
denied,147.017,534.2562,205.023,963.101,-72.659,506.678
denied,147.117,534.2372,204.668,961.621,-73.079,505.259
denied,147.218,534.3298,204.378,960.244,-73.458,503.828
denied,147.317,534.3127,204.104,958.739,-73.801,502.385
denied,147.417,534.4080,203.883,957.346,-74.108,500.933
denied,147.517,534.3987,203.674,955.834,-74.384,499.472
denied,147.620,534.4979,203.512,954.432,-74.630,498.006
denied,147.717,534.4914,203.365,952.910,-74.848,496.534
denied,147.817,534.7539,203.252,951.502,-75.063,494.881
denied,147.917,534.8546,203.162,950.094,-75.230,493.402
denied,148.017,534.7999,203.084,948.570,-75.371,491.980
denied,148.117,534.9016,203.032,947.160,-75.498,490.498
denied,148.217,534.9042,202.995,945.635,-75.608,489.014
denied,148.317,535.0090,202.975,944.229,-75.701,487.529
denied,148.417,535.0144,202.969,942.707,-75.779,486.045
denied,148.517,535.1212,202.979,941.301,-75.843,484.560
denied,148.617,535.1299,203.000,939.783,-75.895,483.076
denied,148.717,535.2391,203.029,938.384,-75.936,481.591
denied,148.817,535.2522,203.075,936.869,-75.966,480.108
denied,148.924,535.3103,203.125,935.471,-75.985,478.684
denied,149.025,535.2722,203.192,933.955,-75.996,477.260
denied,149.124,535.3861,203.259,932.562,-76.000,475.777
denied,149.224,535.4063,203.326,931.065,-75.996,474.295
denied,149.324,535.5242,203.391,929.689,-75.985,472.814
denied,149.442,535.6983,203.467,928.200,-75.965,471.155
denied,149.542,535.7625,203.541,926.822,-75.942,469.732
denied,149.642,535.7320,203.629,925.328,-75.914,468.311
denied,149.743,535.7979,203.715,923.951,-75.881,466.889
denied,149.842,535.7693,203.808,922.462,-75.843,465.468
denied,149.942,536.0836,203.900,921.089,-75.791,463.750
denied,150.042,536.1061,204.004,919.601,-75.741,462.270
denied,150.142,536.1697,204.104,918.225,-75.690,460.849
denied,150.242,536.1878,204.220,916.730,-75.633,459.369
denied,150.342,536.2490,204.333,915.348,-75.574,457.947
denied,150.442,536.2640,204.458,913.848,-75.509,456.467
denied,150.542,536.3724,204.579,912.462,-75.441,454.987
denied,150.642,536.4328,204.704,911.077,-75.373,453.566
denied,150.742,536.4938,204.830,909.694,-75.302,452.145
denied,150.842,536.5098,204.968,908.195,-75.225,450.664
denied,150.942,536.8153,205.103,906.810,-75.133,448.947
denied,151.047,536.7828,205.251,905.309,-75.054,447.526
denied,151.143,536.8439,205.392,903.923,-74.973,446.105
denied,151.242,536.9023,205.535,902.533,-74.890,444.684
denied,151.343,537.1106,205.692,901.027,-74.787,442.967
denied,151.451,537.1670,205.840,899.635,-74.699,441.546
denied,151.551,537.2207,205.991,898.239,-74.610,440.125
denied,151.653,537.1801,206.158,896.724,-74.520,438.704
denied,151.751,537.1844,206.316,895.325,-74.432,437.343
denied,151.851,537.3850,206.484,893.810,-74.319,435.627
denied,151.951,537.4352,206.641,892.411,-74.224,434.207
denied,152.050,537.3926,206.815,890.894,-74.128,432.787
denied,152.151,537.4387,206.974,889.491,-74.031,431.368
denied,152.251,537.5346,207.134,888.090,-73.928,429.890
denied,152.354,537.7777,207.296,886.692,-73.812,428.235
denied,152.450,537.7337,207.467,885.179,-73.712,426.817
denied,152.550,537.7842,207.626,883.785,-73.610,425.399
denied,152.651,537.8827,207.788,882.390,-73.504,423.922
denied,152.751,537.8896,207.958,880.883,-73.397,422.445
denied,152.851,538.0889,208.118,879.495,-73.280,420.850
denied,152.954,538.1917,208.276,878.109,-73.171,419.374
denied,153.051,538.2408,208.436,876.715,-73.065,417.956
denied,153.151,538.0195,208.653,874.913,-72.955,416.478
denied,153.250,538.0215,208.832,873.396,-72.844,415.001
denied,153.351,538.1512,208.984,872.046,-72.732,413.523
denied,153.451,538.1897,209.164,870.572,-72.619,412.046
denied,153.551,538.2588,209.329,869.201,-72.510,410.628
denied,153.651,538.2815,209.510,867.709,-72.396,409.151
denied,153.751,538.3437,209.681,866.327,-72.286,407.733
denied,153.851,538.5019,209.861,864.827,-72.157,406.079
denied,153.951,538.6038,210.031,863.437,-72.042,404.603
denied,154.051,538.6564,210.206,862.042,-71.931,403.185
denied,154.151,538.6589,210.374,860.649,-71.823,401.826
denied,154.251,538.8597,210.559,859.141,-71.688,400.114
denied,154.351,538.9617,210.722,857.869,-71.580,398.755
denied,154.451,539.0652,210.894,856.480,-71.463,397.278
denied,154.551,539.0795,211.086,854.974,-71.345,395.801
denied,154.652,539.1839,211.266,853.581,-71.227,394.324
denied,154.751,539.0942,211.458,852.065,-71.118,392.964
denied,154.856,539.3834,211.641,850.663,-70.980,391.250
denied,154.950,539.2404,211.824,849.258,-70.885,390.068
denied,155.051,539.4858,212.021,847.739,-70.741,388.294
denied,155.151,539.5462,212.208,846.347,-70.627,386.874
denied,155.251,539.6026,212.392,844.951,-70.512,385.455
denied,155.351,539.7062,212.576,843.554,-70.392,383.976
denied,155.451,539.7659,212.767,842.158,-70.277,382.556
denied,155.550,539.8695,212.951,840.761,-70.157,381.077
denied,155.650,539.8353,213.154,839.246,-70.041,379.657
denied,155.751,539.8955,213.348,837.848,-69.926,378.236
denied,155.856,539.8231,213.598,835.978,-69.786,376.519
denied,155.950,539.8763,213.788,834.574,-69.670,375.098
denied,156.051,539.9821,213.967,833.238,-69.555,373.677
denied,156.151,539.9334,214.166,831.764,-69.444,372.315
denied,156.251,540.2478,214.351,830.388,-69.304,370.598
denied,156.350,540.2291,214.562,828.886,-69.189,369.176
denied,156.450,540.2507,214.764,827.380,-69.069,367.695
denied,156.551,540.3088,214.952,825.982,-68.953,366.274
denied,156.651,540.3260,215.164,824.464,-68.833,364.793
denied,156.751,540.3348,215.355,823.062,-68.723,363.430
denied,156.851,540.6347,215.546,821.665,-68.583,361.712
denied,156.951,540.6573,215.762,820.150,-68.464,360.231
denied,157.051,540.7128,215.953,818.747,-68.349,358.809
denied,157.151,540.7305,216.164,817.230,-68.230,357.328
denied,157.251,540.7983,216.367,815.833,-68.115,355.906
denied,157.352,540.9107,216.558,814.439,-67.996,354.424
denied,157.451,540.8434,216.771,812.932,-67.887,353.061
denied,157.551,541.0707,216.992,811.429,-67.749,351.342
denied,157.651,541.1389,217.182,810.038,-67.636,349.919
denied,157.751,541.1645,217.395,808.526,-67.518,348.435
denied,157.851,541.2331,217.597,807.128,-67.405,347.011
denied,157.951,541.3423,217.788,805.727,-67.287,345.527
denied,158.051,541.4140,218.001,804.210,-67.165,343.983
denied,158.151,541.4354,218.203,802.811,-67.057,342.617
denied,158.251,541.4535,218.411,801.291,-66.941,341.132
denied,158.351,541.5196,218.608,799.890,-66.829,339.705
denied,158.451,541.8259,218.806,798.487,-66.694,337.982
denied,158.551,541.7981,219.013,796.968,-66.583,336.555
denied,158.651,541.8664,219.211,795.567,-66.472,335.127
denied,158.751,541.9803,219.404,794.165,-66.357,333.640
denied,158.851,542.0439,219.592,792.763,-66.248,332.212
denied,158.951,542.0715,219.804,791.247,-66.134,330.725
denied,159.051,542.1829,219.990,789.844,-66.022,329.236
denied,159.150,542.0117,220.212,788.141,-65.916,327.808
denied,159.251,542.2255,220.415,786.619,-65.790,326.081
denied,159.350,542.3287,220.588,785.210,-65.683,324.591
denied,159.451,5.1457,-63.152,327.754,-65.588,323.221
denied,159.551,5.2254,-62.962,326.366,-65.488,321.791
denied,159.651,5.1981,-62.768,324.848,-65.393,320.362
denied,159.751,5.7162,-62.859,323.808,-65.304,318.641
denied,159.851,6.4157,-62.866,323.183,-65.261,317.232
denied,159.951,7.1072,-62.803,322.449,-65.257,315.779
denied,160.051,7.4825,-62.776,321.444,-65.301,314.400
denied,160.152,7.7404,-62.797,320.386,-65.392,313.094
denied,160.251,8.0887,-62.882,319.149,-65.581,311.524
denied,160.351,8.2437,-63.025,317.952,-65.818,310.196
denied,160.451,8.2501,-63.260,316.615,-66.131,308.881
denied,160.551,8.3838,-63.555,315.363,-66.543,307.530
denied,160.651,8.3868,-63.966,314.004,-67.045,306.203
denied,160.751,8.6528,-64.432,312.762,-67.716,304.757
denied,160.851,8.6220,-65.034,311.442,-68.412,303.510
denied,160.951,8.6308,-65.684,310.256,-69.166,302.359
denied,161.051,8.4582,-66.489,309.016,-69.964,301.305
denied,161.150,8.4943,-67.328,307.921,-70.913,300.220
denied,161.253,8.3535,-68.330,306.795,-71.899,299.242
denied,161.351,8.5793,-69.332,305.819,-73.180,298.151
denied,161.452,8.3719,-70.495,304.836,-74.260,297.359
denied,161.551,8.3205,-71.630,304.000,-75.440,296.603
denied,161.651,8.1630,-72.922,303.172,-76.669,295.919
denied,161.751,8.2872,-74.170,302.479,-78.156,295.214
denied,161.851,8.1225,-75.562,301.807,-79.470,294.686
denied,161.951,8.0532,-76.883,301.258,-80.813,294.228
denied,162.051,7.8888,-78.354,300.735,-82.181,293.837
denied,162.151,8.0089,-79.741,300.317,-83.858,293.448
denied,162.254,7.8340,-81.269,299.930,-85.262,293.190
denied,162.351,7.7456,-82.692,299.628,-86.676,292.985
denied,162.451,7.5767,-84.301,299.346,-88.157,292.824
denied,162.551,7.4565,-85.739,299.143,-89.523,292.718
denied,162.651,7.4598,-87.310,298.969,-91.249,292.634
denied,162.751,7.3293,-88.881,298.833,-92.738,292.601
denied,162.851,7.2718,-90.329,298.738,-94.227,292.599
denied,162.951,7.2152,-91.775,298.668,-95.715,292.624
denied,163.051,7.0919,-93.336,298.616,-97.201,292.670
denied,163.151,7.0077,-94.775,298.586,-98.626,292.731
denied,163.251,6.8886,-96.332,298.571,-100.109,292.810
denied,163.351,6.8371,-97.777,298.575,-101.590,292.900
denied,163.452,6.6906,-99.345,298.593,-103.010,292.995
denied,163.551,6.6098,-100.796,298.619,-104.429,293.096
denied,163.651,6.4945,-102.366,298.651,-105.906,293.206
denied,163.751,6.4434,-103.811,298.681,-107.382,293.317
denied,163.851,6.2997,-105.374,298.712,-108.798,293.424
denied,163.951,6.3682,-106.814,298.738,-110.509,293.551
denied,164.051,6.2218,-108.369,298.757,-111.925,293.651
denied,164.151,6.1436,-109.801,298.768,-113.340,293.747
denied,164.250,5.1210,-111.367,297.625,-114.816,293.840
denied,164.351,4.0583,-112.849,296.162,-116.233,293.921
denied,164.450,3.3197,-114.480,294.763,-117.710,293.996
denied,164.552,3.4678,-115.966,293.826,-119.425,294.071
denied,164.651,3.2934,-117.635,293.163,-120.786,294.120
denied,164.751,3.1909,-119.279,292.894,-122.208,294.162
denied,164.851,2.8230,-121.120,292.902,-123.631,294.192
denied,164.951,2.8265,-122.772,292.932,-125.292,294.211
denied,165.051,2.6180,-124.503,292.915,-126.777,294.212
denied,165.151,2.5239,-126.062,292.859,-128.203,294.195
denied,165.251,2.2451,-127.740,292.948,-129.630,294.160
denied,165.351,2.1172,-129.268,292.973,-131.057,294.105
denied,165.451,2.0913,-130.899,292.990,-132.721,294.015
denied,165.551,1.9619,-132.387,293.047,-134.148,293.913
denied,165.650,1.7683,-133.988,293.002,-135.573,293.787
denied,165.751,1.7656,-135.457,292.880,-137.056,293.630
denied,165.851,1.6332,-137.039,292.678,-138.477,293.453
denied,165.950,1.6704,-138.492,292.434,-139.955,293.240
denied,166.051,1.5873,-140.056,292.118,-141.370,293.009
denied,166.151,1.8274,-141.490,291.780,-143.074,292.692
denied,166.251,1.7723,-143.035,291.371,-144.479,292.398
denied,166.353,1.7855,-144.568,290.916,-145.937,292.062
denied,166.452,1.8455,-145.972,290.459,-147.329,291.710
denied,166.551,1.9487,-147.357,289.973,-148.773,291.312
denied,166.653,2.0031,-148.825,289.432,-150.207,290.882
denied,166.752,2.0769,-150.165,288.915,-151.576,290.439
denied,166.851,2.2002,-151.600,288.335,-153.162,289.885
denied,166.951,2.2866,-152.913,287.777,-154.566,289.357
denied,167.051,2.3246,-154.320,287.147,-155.959,288.796
denied,167.151,2.4003,-155.606,286.543,-157.339,288.204
denied,167.251,2.4133,-156.983,285.862,-158.651,287.605
denied,167.351,2.4805,-158.240,285.208,-160.005,286.951
denied,167.451,2.4933,-159.585,284.473,-161.290,286.292
denied,167.551,2.5521,-160.814,283.767,-162.614,285.575
denied,167.651,2.5668,-162.130,282.970,-163.869,284.858
denied,167.751,2.6050,-163.333,282.206,-165.109,284.112
denied,167.851,2.6338,-164.614,281.353,-166.382,283.305
denied,167.952,2.7428,-165.779,280.539,-167.885,282.296
denied,168.051,2.7177,-166.927,279.701,-168.871,281.600
denied,168.151,2.7408,-168.151,278.762,-170.086,280.703
denied,168.251,2.8210,-169.264,277.865,-171.468,279.626
denied,168.351,2.8236,-170.450,276.862,-172.589,278.706
denied,168.451,2.8482,-171.524,275.910,-173.690,277.760
denied,168.551,2.8587,-172.663,274.856,-174.769,276.788
denied,168.650,2.8846,-173.691,273.860,-175.870,275.750
denied,168.751,2.9005,-174.779,272.754,-176.903,274.729
denied,168.851,2.9244,-175.761,271.708,-177.956,273.641
denied,168.950,2.9474,-176.800,270.547,-178.983,272.528
denied,169.050,2.9711,-177.735,269.450,-179.984,271.391
denied,169.150,2.9963,-178.721,268.239,-181.113,270.044
denied,169.251,3.0164,-179.606,267.098,-182.020,268.906
denied,169.351,3.0420,-180.537,265.834,-182.939,267.700
denied,169.450,3.0642,-181.371,264.646,-183.831,266.474
denied,169.551,3.0851,-182.180,263.442,-184.695,265.229
denied,169.651,3.1121,-183.027,262.119,-185.533,263.965
denied,169.751,3.1361,-183.783,260.879,-186.311,262.735
denied,169.851,3.1736,-184.573,259.512,-187.096,261.437
denied,169.950,3.1962,-185.275,258.233,-187.853,260.123
denied,170.051,3.2436,-186.009,256.838,-188.555,258.848
denied,170.151,3.2541,-186.712,255.428,-189.343,257.343
denied,170.251,3.2530,-187.284,254.223,-190.018,255.986
denied,170.351,3.2888,-187.934,252.787,-190.668,254.615
denied,170.451,3.3248,-188.500,251.428,-191.292,253.234
denied,170.554,3.4226,-189.023,250.014,-191.844,251.952
denied,170.651,3.5307,-189.506,248.556,-192.419,250.550
denied,170.753,3.6563,-189.988,246.946,-193.036,248.967
denied,170.852,3.8128,-190.402,245.437,-193.540,247.601
denied,170.951,4.0258,-190.820,243.791,-194.024,246.228
denied,171.051,4.2128,-191.172,242.249,-194.488,244.848
denied,171.151,4.4623,-191.529,240.574,-194.932,243.461
denied,171.252,4.6206,-191.839,239.036,-195.374,242.011
denied,171.351,4.8725,-192.148,237.365,-195.781,240.613
denied,171.451,5.0225,-192.418,235.831,-196.186,239.152
denied,171.551,5.0682,-192.669,234.295,-196.635,237.451
denied,171.651,5.3064,-192.919,232.632,-196.988,236.038
denied,171.751,5.4701,-193.138,231.105,-197.327,234.622
denied,171.850,5.6965,-193.360,229.458,-197.652,233.203
denied,171.951,5.8492,-193.550,227.943,-197.964,231.780
denied,172.051,6.0359,-193.744,226.307,-198.275,230.295
denied,172.151,6.0555,-193.911,224.805,-198.607,228.629
denied,172.251,6.2632,-194.077,223.176,-198.879,227.197
denied,172.352,6.3864,-194.225,221.685,-199.139,225.763
denied,172.450,6.5718,-194.375,220.080,-199.389,224.327
denied,172.551,6.5244,-194.438,218.701,-199.677,222.589
denied,172.651,6.6844,-194.214,217.596,-199.914,221.088
denied,172.751,6.8153,-194.107,216.458,-200.131,219.645
denied,172.851,6.9632,-194.066,215.138,-200.349,218.140
denied,172.952,7.0657,-194.078,213.862,-200.551,216.694
denied,173.051,7.2074,-194.128,212.437,-200.739,215.307
denied,173.151,7.1917,-194.198,211.095,-200.977,213.496
denied,173.251,7.2848,-194.292,209.622,-201.162,212.046
denied,173.352,7.3360,-194.390,208.250,-201.341,210.595
denied,173.451,7.3946,-194.504,206.755,-201.523,209.083
denied,173.551,7.4819,-194.446,205.730,-201.698,207.569
denied,173.651,7.5974,-194.437,204.502,-201.861,206.116
denied,173.751,7.6849,-194.462,203.293,-202.012,204.722
denied,173.851,7.7486,-194.513,201.961,-202.197,202.963
denied,173.951,7.7818,-194.577,201.030,-202.344,201.507
denied,174.051,7.8332,-194.656,199.876,-202.487,200.050
denied,174.151,7.8917,-194.734,198.716,-202.625,198.593
denied,174.251,7.9741,-194.822,197.385,-202.781,196.892
denied,174.351,8.0338,-194.904,196.109,-202.909,195.433
denied,174.451,8.0840,-194.991,194.690,-203.038,193.913
denied,174.551,8.1483,-195.070,193.355,-203.161,192.392
denied,174.651,8.1791,-195.151,191.890,-203.274,190.931
denied,174.751,8.2156,-195.222,190.527,-203.377,189.531
denied,174.851,8.3276,-195.290,189.155,-203.500,187.764
denied,174.951,8.3574,-195.349,187.652,-203.596,186.301
denied,175.051,8.4207,-195.385,186.247,-203.687,184.838
denied,175.151,8.4593,-195.407,184.718,-203.768,183.435
denied,175.251,8.5580,-195.420,183.305,-203.854,181.848
denied,175.351,8.6159,-195.423,181.770,-203.927,180.383
denied,175.451,8.7668,-195.415,180.350,-204.008,178.613
denied,175.551,8.8394,-195.402,178.810,-204.071,177.086
denied,175.651,8.9227,-195.382,177.391,-204.127,175.619
denied,175.751,8.9995,-195.354,175.855,-204.179,174.092
denied,175.850,9.0669,-195.327,174.439,-204.223,172.686
denied,175.951,9.1859,-195.289,172.906,-204.270,170.975
denied,176.051,9.2705,-195.250,171.495,-204.305,169.507
denied,176.150,9.3443,-195.206,169.966,-204.337,167.979
denied,176.251,9.4150,-195.157,168.553,-204.361,166.572
denied,176.351,9.5354,-195.100,167.027,-204.386,164.859
denied,176.451,9.6151,-195.048,165.618,-204.402,163.391
denied,176.551,9.6945,-194.978,164.085,-204.414,161.861
denied,176.651,9.7799,-194.911,162.670,-204.422,160.393
denied,176.751,9.8263,-194.837,161.137,-204.425,158.986
denied,176.851,9.9135,-194.758,159.723,-204.423,157.517
denied,176.950,10.0045,-194.673,158.192,-204.418,155.926
denied,177.051,10.0977,-194.595,156.782,-204.407,154.397
denied,177.151,10.2347,-194.499,155.253,-204.390,152.623
denied,177.251,10.3185,-194.409,153.840,-204.371,151.155
denied,177.351,10.3738,-194.312,152.310,-204.349,149.687
denied,177.451,10.4753,-194.210,150.898,-204.321,148.158
denied,177.551,10.5351,-194.102,149.371,-204.290,146.691
denied,177.651,10.6116,-194.004,147.964,-204.256,145.224
denied,177.751,10.6892,-193.885,146.441,-204.216,143.697
denied,177.851,10.8427,-193.778,145.038,-204.164,141.926
denied,177.951,10.8950,-193.661,143.520,-204.118,140.460
denied,178.051,10.9784,-193.542,142.118,-204.067,138.994
denied,178.151,11.0334,-193.416,140.602,-204.013,137.529
denied,178.251,11.1877,-193.297,139.203,-203.942,135.759
denied,178.351,11.2067,-193.168,137.801,-203.890,134.538
denied,178.450,11.2763,-193.029,136.283,-203.821,133.013
denied,178.550,11.4316,-192.900,134.886,-203.736,131.244
denied,178.650,11.5035,-192.750,133.372,-203.658,129.719
denied,178.750,11.5291,-192.590,131.741,-203.579,128.255
denied,178.851,11.6070,-192.445,130.338,-203.497,126.791
denied,178.950,11.6849,-192.275,128.818,-203.407,125.267
denied,179.052,11.7652,-192.120,127.419,-203.317,123.804
denied,179.150,11.9101,-191.962,126.024,-203.206,122.098
denied,179.253,11.9865,-191.784,124.517,-203.104,120.575
denied,179.351,12.0760,-191.635,123.242,-203.006,119.174
denied,179.451,12.1360,-191.450,121.737,-202.899,117.713
denied,179.551,12.2222,-191.275,120.351,-202.790,116.253
denied,179.652,12.3320,-191.072,118.730,-202.652,114.488
denied,179.750,12.4336,-190.890,117.343,-202.528,112.967
denied,179.852,12.4962,-190.686,115.843,-202.406,111.507
denied,179.951,12.5761,-190.503,114.459,-202.280,110.048
denied,180.051,12.6362,-190.295,112.961,-202.151,108.589
