phase,t_s,t_unix,error_m,est_n,est_e,truth_n,truth_e
denied,133.751,1789657634.338,7.3715,449.666,-221.992,447.117,-215.075
denied,133.853,1789657634.440,7.3599,450.277,-220.656,447.693,-213.765
denied,133.951,1789657634.538,7.1517,450.958,-219.124,448.242,-212.508
denied,134.051,1789657634.638,7.0437,451.608,-217.615,448.837,-211.140
denied,134.151,1789657634.738,7.0199,452.314,-215.948,449.545,-209.497
denied,134.251,1789657634.838,6.6544,453.034,-214.158,450.109,-208.181
denied,134.351,1789657634.938,6.2514,453.778,-212.288,450.671,-206.863
denied,134.451,1789657635.038,6.0751,454.429,-210.668,451.253,-205.490
denied,134.551,1789657635.138,5.8570,455.104,-209.012,451.809,-204.170
denied,134.651,1789657635.238,5.6987,455.709,-207.501,452.340,-202.905
denied,134.751,1789657635.338,5.5061,456.348,-205.683,453.006,-201.308
denied,134.853,1789657635.440,5.2665,456.928,-204.066,453.532,-200.041
denied,134.951,1789657635.538,5.0317,457.549,-202.225,454.169,-198.497
denied,135.051,1789657635.638,4.8206,458.096,-200.609,454.714,-197.174
denied,135.151,1789657635.738,4.6201,458.659,-198.946,455.279,-195.796
denied,135.251,1789657635.838,4.5017,459.157,-197.464,455.843,-194.417
denied,135.351,1789657635.938,4.3486,459.682,-195.899,456.406,-193.039
denied,135.451,1789657636.038,4.2397,460.158,-194.483,456.945,-191.716
denied,135.551,1789657636.138,4.0506,460.665,-192.901,457.484,-190.393
denied,135.658,1789657636.245,3.8993,461.125,-191.431,458.021,-189.070
denied,135.758,1789657636.345,3.6859,461.616,-189.807,458.559,-187.748
denied,135.858,1789657636.445,3.5793,462.065,-188.305,459.208,-186.150
denied,135.958,1789657636.545,3.3511,462.549,-186.662,459.745,-184.827
denied,136.059,1789657636.645,3.2257,462.970,-185.266,460.305,-183.450
denied,136.163,1789657636.749,3.0213,463.462,-183.616,460.865,-182.073
denied,136.258,1789657636.845,2.8497,463.919,-182.103,461.381,-180.806
denied,136.358,1789657636.945,2.7295,464.380,-180.620,462.011,-179.264
denied,136.458,1789657637.045,2.5684,464.879,-179.035,462.528,-177.999
denied,136.558,1789657637.145,2.4456,465.342,-177.583,463.092,-176.623
denied,136.658,1789657637.245,2.3265,465.848,-176.019,463.634,-175.303
denied,136.758,1789657637.345,2.2015,466.312,-174.581,464.268,-173.764
denied,136.858,1789657637.445,2.0619,466.793,-173.015,464.812,-172.444
denied,136.958,1789657637.545,1.9450,467.238,-171.579,465.334,-171.180
denied,137.058,1789657637.645,1.8497,467.721,-170.032,465.879,-169.862
denied,137.158,1789657637.745,1.7223,468.165,-168.613,466.448,-168.489
denied,137.258,1789657637.845,1.6316,468.648,-167.084,467.017,-167.116
denied,137.358,1789657637.945,1.5164,469.101,-165.683,467.586,-165.744
denied,137.459,1789657638.046,1.3413,469.563,-164.286,468.224,-164.209
denied,137.559,1789657638.146,1.2772,470.070,-162.773,468.794,-162.838
denied,137.658,1789657638.245,1.1821,470.543,-161.383,469.364,-161.468
denied,137.759,1789657638.345,1.1436,471.058,-159.886,469.934,-160.098
denied,137.859,1789657638.446,1.0892,471.536,-158.512,470.481,-158.783
denied,137.960,1789657638.547,1.0844,472.065,-157.028,471.051,-157.413
denied,138.058,1789657638.645,1.0144,472.561,-155.665,471.619,-156.043
denied,138.158,1789657638.745,0.8690,473.064,-154.310,472.232,-154.563
denied,138.258,1789657638.844,1.0208,473.681,-152.677,472.799,-153.191
denied,138.359,1789657638.946,1.0110,474.197,-151.336,473.341,-151.874
denied,138.458,1789657639.045,1.0999,474.768,-149.907,473.881,-150.556
denied,138.558,1789657639.145,1.0967,475.307,-148.594,474.419,-149.237
denied,138.658,1789657639.245,1.1523,475.903,-147.177,474.976,-147.861
denied,138.758,1789657639.344,1.1647,476.455,-145.862,475.508,-146.540
denied,138.858,1789657639.445,1.0943,477.064,-144.436,476.124,-144.996
denied,138.959,1789657639.546,1.2007,477.701,-143.002,476.669,-143.615
denied,139.063,1789657639.650,1.3606,478.319,-141.711,477.144,-142.398
denied,139.163,1789657639.750,1.3925,478.939,-140.420,477.679,-141.013
denied,139.263,1789657639.850,1.5125,479.589,-139.009,478.207,-139.625
denied,139.363,1789657639.950,1.5651,480.189,-137.669,478.729,-138.234
denied,139.463,1789657640.050,1.5234,480.825,-136.204,479.344,-136.560
denied,139.563,1789657640.150,1.7428,481.382,-134.836,479.747,-135.441
denied,139.663,1789657640.250,1.7642,481.985,-133.344,480.302,-133.871
denied,139.763,1789657640.350,1.8719,482.544,-131.932,480.767,-132.522
denied,139.863,1789657640.450,2.0198,483.123,-130.375,481.243,-131.113
denied,139.963,1789657640.549,2.0662,483.630,-128.942,481.708,-129.700
denied,140.063,1789657640.650,2.2062,484.171,-127.370,482.163,-128.284
denied,140.164,1789657640.751,2.2891,484.677,-125.887,482.607,-126.865
denied,140.263,1789657640.850,2.3924,485.158,-124.419,483.024,-125.499
denied,140.363,1789657640.950,2.4066,485.656,-122.838,483.497,-123.903
denied,140.463,1789657641.049,2.5770,486.193,-121.368,483.893,-122.531
denied,140.563,1789657641.150,2.7754,486.739,-119.784,484.295,-121.099
denied,140.663,1789657641.250,2.8973,487.212,-118.329,484.671,-119.721
denied,140.763,1789657641.350,2.9617,487.659,-116.878,485.052,-118.284
denied,140.863,1789657641.450,3.1449,488.120,-115.310,485.407,-116.901
denied,140.963,1789657641.550,3.2302,488.529,-113.865,485.752,-115.515
denied,141.063,1789657641.650,3.3582,488.956,-112.301,486.101,-114.069
denied,141.163,1789657641.750,3.2318,489.338,-110.858,486.492,-112.389
denied,141.263,1789657641.850,3.3926,489.740,-109.296,486.804,-110.996
denied,141.363,1789657641.950,3.4276,490.102,-107.854,487.119,-109.544
denied,141.463,1789657642.050,3.5885,490.484,-106.293,487.412,-108.147
denied,141.564,1789657642.151,3.5612,490.809,-104.942,487.707,-106.691
denied,141.663,1789657642.250,3.6075,491.141,-103.551,487.981,-105.292
denied,141.763,1789657642.350,3.5134,491.425,-102.314,488.257,-103.833
denied,141.863,1789657642.450,3.4919,491.726,-100.980,488.523,-102.372
denied,141.964,1789657642.551,3.4167,491.996,-99.753,488.781,-100.909
denied,142.064,1789657642.651,3.3328,492.278,-98.406,489.059,-99.269
denied,142.163,1789657642.750,3.3238,492.535,-97.147,489.289,-97.861
denied,142.263,1789657642.850,3.3501,492.810,-95.762,489.520,-96.393
denied,142.363,1789657642.950,3.3596,493.055,-94.470,489.735,-94.982
denied,142.463,1789657643.050,3.3960,493.316,-93.057,489.951,-93.511
denied,142.563,1789657643.150,3.4220,493.555,-91.747,490.151,-92.098
denied,142.663,1789657643.250,3.5090,493.821,-90.205,490.345,-90.684
denied,142.763,1789657643.350,3.5230,494.048,-88.896,490.539,-89.210
denied,142.863,1789657643.450,3.5734,494.289,-87.456,490.727,-87.734
denied,142.963,1789657643.550,3.5868,494.501,-86.114,490.915,-86.198
denied,143.063,1789657643.650,3.6278,494.710,-84.763,491.082,-84.779
denied,143.163,1789657643.750,3.6662,494.932,-83.293,491.270,-83.123
denied,143.263,1789657643.850,3.7106,495.128,-81.929,491.424,-81.702
denied,143.363,1789657643.950,3.7643,495.337,-80.449,491.579,-80.220
denied,143.463,1789657644.050,3.8131,495.526,-79.077,491.728,-78.738
denied,143.563,1789657644.150,3.8646,495.721,-77.593,491.871,-77.255
denied,143.663,1789657644.250,3.9140,495.899,-76.216,492.004,-75.830
denied,143.763,1789657644.349,3.9676,496.086,-74.717,492.131,-74.405
denied,143.863,1789657644.450,4.0231,496.249,-73.326,492.278,-72.681
denied,143.963,1789657644.549,4.0655,496.424,-71.810,492.389,-71.314
denied,144.063,1789657644.650,4.1167,496.580,-70.411,492.505,-69.827
denied,144.164,1789657644.751,4.1618,496.742,-68.892,492.617,-68.339
denied,144.263,1789657644.850,4.2096,496.889,-67.489,492.719,-66.911
denied,144.363,1789657644.950,4.2710,497.041,-65.971,492.832,-65.245
denied,144.463,1789657645.050,4.3170,497.175,-64.573,492.925,-63.816
denied,144.563,1789657645.150,4.3623,497.319,-63.052,493.017,-62.328
denied,144.663,1789657645.250,4.4077,497.445,-61.646,493.101,-60.899
denied,144.763,1789657645.350,4.4473,497.575,-60.123,493.185,-59.410
denied,144.863,1789657645.450,4.5016,497.695,-58.717,493.265,-57.921
denied,144.963,1789657645.550,4.5693,497.806,-57.306,493.346,-56.312
denied,145.063,1789657645.650,4.5893,497.929,-55.659,493.417,-54.822
denied,145.163,1789657645.750,4.6345,498.036,-54.249,493.481,-53.392
denied,145.263,1789657645.850,4.6828,498.132,-52.841,493.545,-51.902
denied,145.363,1789657645.949,4.7356,498.227,-51.439,493.604,-50.411
denied,145.463,1789657646.050,4.7752,498.329,-49.924,493.660,-48.920
denied,145.563,1789657646.150,4.8062,498.418,-48.408,493.713,-47.428
denied,145.663,1789657646.250,4.8190,498.504,-46.891,493.758,-46.055
denied,145.763,1789657646.350,4.8689,498.583,-45.492,493.804,-44.562
denied,145.863,1789657646.450,4.8838,498.655,-43.973,493.845,-43.128
denied,145.964,1789657646.551,4.9247,498.719,-42.570,493.884,-41.634
denied,146.063,1789657646.650,4.9522,498.789,-41.045,493.920,-40.138
denied,146.163,1789657646.750,5.0354,498.840,-39.638,493.958,-38.403
denied,146.264,1789657646.850,5.0412,498.895,-38.114,493.987,-36.966
denied,146.363,1789657646.950,5.0881,498.949,-36.706,494.013,-35.468
denied,146.463,1789657647.050,5.1223,498.985,-35.294,494.037,-33.970
denied,146.563,1789657647.150,5.1049,499.026,-33.758,494.056,-32.591
denied,146.663,1789657647.250,5.1438,499.064,-32.341,494.075,-31.093
denied,146.763,1789657647.350,5.1346,499.092,-30.809,494.089,-29.654
denied,146.863,1789657647.450,5.2331,499.122,-29.401,494.104,-27.915
denied,146.963,1789657647.550,5.2140,499.152,-27.875,494.113,-26.535
denied,147.063,1789657647.650,5.2278,499.166,-26.462,494.120,-25.096
denied,147.163,1789657647.750,5.2352,499.186,-24.935,494.125,-23.596
denied,147.264,1789657647.851,5.2583,499.204,-23.530,494.128,-22.156
denied,147.363,1789657647.950,5.2579,499.210,-22.004,494.128,-20.656
denied,147.463,1789657648.050,5.2959,499.220,-20.603,494.126,-19.156
denied,147.564,1789657648.151,5.3009,499.227,-19.081,494.121,-17.655
denied,147.663,1789657648.250,5.3279,499.221,-17.672,494.114,-16.154
denied,147.763,1789657648.350,5.4001,499.219,-16.143,494.103,-14.412
denied,147.863,1789657648.450,5.4343,499.212,-14.731,494.091,-12.910
denied,147.963,1789657648.550,5.4230,499.195,-13.202,494.077,-11.409
denied,148.063,1789657648.650,5.4589,499.184,-11.791,494.060,-9.907
denied,148.163,1789657648.750,5.4903,499.166,-10.499,494.043,-8.525
denied,148.265,1789657648.852,5.5488,499.145,-9.092,494.021,-6.963
denied,148.363,1789657648.950,5.5922,499.128,-7.686,493.998,-5.460
denied,148.474,1789657649.061,5.4651,499.094,-5.929,493.974,-4.018
denied,148.577,1789657649.164,5.4721,499.063,-4.517,493.947,-2.576
denied,148.678,1789657649.264,5.4553,499.020,-3.003,493.917,-1.073
denied,148.777,1789657649.364,5.4817,498.978,-1.599,493.885,0.430
denied,148.878,1789657649.464,5.4625,498.932,-0.073,493.851,1.932
denied,148.978,1789657649.565,5.4734,498.896,1.336,493.816,3.375
denied,149.077,1789657649.664,5.4482,498.841,2.865,493.777,4.877
denied,149.177,1789657649.764,5.5786,498.791,4.272,493.730,6.618
denied,149.278,1789657649.864,5.5387,498.743,5.795,493.688,8.059
denied,149.377,1789657649.964,5.5363,498.682,7.205,493.644,9.500
denied,149.477,1789657650.064,5.5108,498.619,8.733,493.596,11.001
denied,149.577,1789657650.164,5.5713,498.569,10.028,493.548,12.442
denied,149.677,1789657650.264,5.6272,498.496,11.553,493.489,14.122
denied,149.777,1789657650.364,5.6279,498.425,12.956,493.436,15.561
denied,149.877,1789657650.464,5.6147,498.361,14.474,493.378,17.061
denied,149.978,1789657650.565,5.6134,498.284,15.878,493.321,18.501
denied,150.078,1789657650.665,5.6479,498.211,17.286,493.258,20.001
denied,150.177,1789657650.764,5.6533,498.139,18.696,493.196,21.440
denied,150.278,1789657650.865,5.5885,498.047,20.222,493.132,22.880
denied,150.377,1789657650.964,5.7570,497.969,21.627,493.050,24.619
denied,150.477,1789657651.064,5.7011,497.882,23.146,492.981,26.058
denied,150.579,1789657651.166,5.6719,497.790,24.545,492.911,27.437
denied,150.677,1789657651.264,5.6845,497.707,25.945,492.836,28.877
denied,150.777,1789657651.364,5.8328,497.615,27.344,492.746,30.556
denied,150.877,1789657651.464,5.8426,497.519,28.742,492.666,31.995
denied,150.977,1789657651.564,5.6579,497.413,30.489,492.583,33.435
denied,151.077,1789657651.664,5.6377,497.306,31.998,492.493,34.935
denied,151.177,1789657651.764,5.6557,497.190,33.360,492.405,36.375
denied,151.278,1789657651.865,5.8408,497.089,34.845,492.290,38.175
denied,151.377,1789657651.964,5.8721,496.989,36.225,492.195,39.616
denied,151.477,1789657652.064,5.8176,496.869,37.729,492.098,41.058
denied,151.577,1789657652.164,5.8780,496.762,39.124,491.992,42.560
denied,151.677,1789657652.264,5.9341,496.646,40.521,491.884,44.062
denied,151.785,1789657652.371,5.8314,496.513,42.036,491.781,45.444
denied,151.885,1789657652.472,5.8483,496.396,43.439,491.671,46.886
denied,151.990,1789657652.576,6.0673,496.269,44.835,491.534,48.628
denied,152.085,1789657652.672,6.1337,496.143,46.226,491.412,50.130
denied,152.185,1789657652.772,6.1664,496.025,47.619,491.291,51.571
denied,152.284,1789657652.871,5.9848,495.859,49.362,491.162,53.072
denied,152.385,1789657652.972,6.0064,495.723,50.758,491.035,54.513
denied,152.485,1789657653.072,6.0007,495.567,52.243,490.899,56.013
denied,152.584,1789657653.171,6.0734,495.424,53.624,490.759,57.513
denied,152.688,1789657653.274,6.0675,495.269,55.119,490.615,59.012
denied,152.784,1789657653.371,6.1114,495.134,56.498,490.473,60.451
denied,152.884,1789657653.471,6.0614,494.970,57.991,490.328,61.890
denied,152.985,1789657653.572,6.3198,494.817,59.369,490.148,63.628
denied,153.084,1789657653.671,6.3180,494.657,60.868,489.989,65.126
denied,153.184,1789657653.771,6.3960,494.492,62.250,489.825,66.623
denied,153.285,1789657653.871,6.4352,494.331,63.629,489.664,68.060
denied,153.387,1789657653.974,6.4791,494.173,65.010,489.499,69.497
denied,153.490,1789657654.076,6.5579,493.980,66.510,489.309,71.114
denied,153.590,1789657654.177,6.5950,493.807,67.894,489.137,72.550
denied,153.701,1789657654.287,6.4971,493.621,69.392,488.967,73.926
denied,153.801,1789657654.387,6.5294,493.433,70.773,488.787,75.361
denied,153.904,1789657654.491,6.7170,493.235,72.269,488.563,77.095
denied,154.001,1789657654.588,6.8091,493.053,73.649,488.366,78.588
denied,154.101,1789657654.688,6.7484,492.837,75.145,488.172,80.022
denied,154.200,1789657654.787,6.7853,492.641,76.529,487.975,81.455
denied,154.301,1789657654.888,6.6836,492.420,78.084,487.773,82.888
denied,154.401,1789657654.988,6.6655,492.188,79.583,487.559,84.379
denied,154.502,1789657655.089,6.7488,491.978,80.966,487.340,85.869
denied,154.601,1789657655.187,6.8336,491.765,82.349,487.117,87.359
denied,154.712,1789657655.298,6.9251,491.526,83.839,486.870,88.966
denied,154.812,1789657655.399,6.9743,491.313,85.210,486.647,90.394
denied,154.911,1789657655.498,6.9739,491.073,86.695,486.410,91.881
denied,155.011,1789657655.598,6.9737,490.824,88.175,486.168,93.367
denied,155.111,1789657655.698,7.1234,490.596,89.545,485.912,94.912
denied,155.216,1789657655.803,7.2124,490.376,90.803,485.681,96.278
denied,155.316,1789657655.903,7.0005,490.078,92.463,485.436,97.702
denied,155.417,1789657656.004,7.2503,489.836,93.835,485.144,99.363
denied,155.516,1789657656.103,7.3919,489.601,95.090,484.889,100.786
denied,155.620,1789657656.207,7.4936,489.326,96.571,484.598,102.385
denied,155.727,1789657656.314,7.6013,489.080,97.936,484.323,103.865
denied,155.828,1789657656.415,7.5457,488.789,99.410,484.055,105.285
denied,155.929,1789657656.516,7.4881,488.498,100.888,483.782,106.704
denied,156.027,1789657656.614,7.5361,488.234,102.255,483.505,108.122
denied,156.127,1789657656.714,7.8453,487.947,103.616,483.164,109.835
denied,156.227,1789657656.814,7.8899,487.664,104.979,482.877,111.251
denied,156.327,1789657656.914,7.8811,487.380,106.342,482.598,112.607
denied,156.427,1789657657.014,7.7140,487.033,107.928,482.302,114.021
denied,156.529,1789657657.116,8.0290,486.736,109.289,481.940,115.728
denied,156.627,1789657657.214,7.7527,486.412,110.759,481.686,116.904
denied,156.727,1789657657.314,8.0683,486.097,112.112,481.312,118.608
denied,156.827,1789657657.414,7.9555,485.762,113.578,481.011,119.959
denied,156.927,1789657657.514,8.0617,485.452,114.928,480.680,121.425
denied,157.027,1789657657.614,8.0507,485.123,116.275,480.371,122.774
denied,157.127,1789657657.714,8.0544,484.778,117.732,480.030,124.238
denied,157.227,1789657657.814,8.3292,484.452,119.076,479.644,125.877
denied,157.327,1789657657.914,8.2725,484.087,120.529,479.307,127.280
denied,157.433,1789657658.020,8.5532,483.756,121.869,478.910,128.917
denied,157.527,1789657658.114,8.4956,483.383,123.321,478.564,130.318
denied,157.627,1789657658.214,8.5994,483.027,124.660,478.200,131.777
denied,157.727,1789657658.314,8.5953,482.646,126.114,477.831,133.234
denied,157.827,1789657658.414,8.6361,482.279,127.457,477.472,134.633
denied,157.928,1789657658.515,8.5700,481.876,128.907,477.110,136.029
denied,158.027,1789657658.614,8.6242,481.515,130.241,476.743,137.425
denied,158.128,1789657658.714,8.7944,481.107,131.680,476.310,139.051
denied,158.227,1789657658.814,8.9043,480.726,133.007,475.919,140.502
denied,158.327,1789657658.914,8.8516,480.319,134.444,475.539,141.894
denied,158.427,1789657659.014,8.9660,479.930,135.763,475.139,143.342
denied,158.530,1789657659.117,9.0221,479.537,137.084,474.752,144.732
denied,158.627,1789657659.214,8.8599,479.120,138.511,474.393,146.005
denied,158.727,1789657659.314,9.1452,478.748,139.714,473.964,147.508
denied,158.827,1789657659.414,9.4425,478.349,141.026,473.497,149.126
denied,158.927,1789657659.514,9.5677,477.946,142.335,473.076,150.570
denied,159.028,1789657659.615,9.5139,477.487,143.753,472.667,151.956
denied,159.128,1789657659.715,9.5787,477.075,145.062,472.255,153.340
denied,159.227,1789657659.814,9.5250,476.623,146.488,471.839,154.724
denied,159.328,1789657659.915,9.8611,476.176,147.807,471.330,156.395
denied,159.427,1789657660.014,9.9090,475.738,149.126,470.906,157.777
denied,159.527,1789657660.114,9.9010,475.259,150.554,470.459,159.214
denied,159.628,1789657660.215,10.0050,474.800,151.867,470.009,160.650
denied,159.728,1789657660.315,9.8820,474.312,153.288,469.592,161.970
denied,159.827,1789657660.414,9.9320,473.855,154.597,469.153,163.345
denied,159.927,1789657660.514,10.1648,473.348,156.008,468.618,165.004
denied,160.028,1789657660.615,10.2229,472.889,157.307,468.171,166.376
denied,160.127,1789657660.714,10.2786,472.418,158.603,467.722,167.746
denied,160.227,1789657660.814,10.1114,471.849,160.167,467.250,169.172
denied,160.327,1789657660.914,10.1067,471.316,161.567,466.775,170.596
denied,160.427,1789657661.014,10.1016,470.830,162.859,466.335,171.905
denied,160.527,1789657661.114,10.3407,470.295,164.253,465.776,173.554
denied,160.627,1789657661.214,10.4009,469.810,165.540,465.310,174.917
denied,160.727,1789657661.314,10.4035,469.272,166.932,464.821,176.336
denied,160.827,1789657661.414,10.4575,468.761,168.215,464.349,177.696
denied,160.928,1789657661.515,10.4018,468.218,169.604,463.874,179.055
denied,161.027,1789657661.614,10.7565,467.704,170.884,463.297,180.696
denied,161.127,1789657661.714,10.4547,467.136,172.271,462.896,181.827
denied,161.227,1789657661.814,10.5733,466.624,173.549,462.393,183.239
denied,161.327,1789657661.914,10.8185,466.055,174.927,461.805,184.876
denied,161.427,1789657662.014,10.9404,465.523,176.195,461.295,186.285
denied,161.527,1789657662.114,10.8958,464.961,177.566,460.803,187.637
denied,161.630,1789657662.217,10.9616,464.425,178.829,460.308,188.989
denied,161.728,1789657662.315,10.9750,463.841,180.196,459.790,190.396
denied,161.827,1789657662.414,11.1052,463.314,181.460,459.269,191.802
denied,161.927,1789657662.514,11.2323,462.763,182.718,458.745,193.207
denied,162.027,1789657662.614,11.3613,462.216,183.977,458.218,194.612
denied,162.129,1789657662.716,11.5547,461.632,185.347,457.625,196.184
denied,162.227,1789657662.814,11.6251,461.068,186.599,457.114,197.531
denied,162.327,1789657662.914,11.5880,460.470,187.954,456.601,198.877
denied,162.428,1789657663.015,11.7252,459.924,189.208,456.063,200.279
denied,162.528,1789657663.114,11.6831,459.304,190.563,455.545,201.624
denied,162.627,1789657663.214,11.8130,458.738,191.818,455.002,203.025
denied,162.727,1789657663.314,11.7104,458.128,193.178,454.501,204.313
denied,162.827,1789657663.414,12.0805,457.543,194.428,453.865,205.935
denied,162.927,1789657663.514,12.0963,456.918,195.785,453.315,207.333
denied,163.027,1789657663.614,12.2298,456.345,197.036,452.762,208.729
denied,163.127,1789657663.714,12.2532,455.705,198.381,452.207,210.124
denied,163.227,1789657663.814,12.5037,455.174,199.522,451.649,211.518
denied,163.328,1789657663.915,12.5817,454.582,200.762,451.112,212.856
denied,163.427,1789657664.014,12.3803,453.873,202.260,450.572,214.192
denied,163.527,1789657664.114,12.4064,453.228,203.601,450.008,215.583
denied,163.627,1789657664.214,12.4855,452.615,204.835,449.464,216.917
denied,163.727,1789657664.314,12.6910,451.960,206.173,448.827,218.472
denied,163.827,1789657664.414,12.8291,451.362,207.411,448.256,219.858
denied,163.927,1789657664.514,12.9097,450.754,208.644,447.706,221.189
denied,164.027,1789657664.614,12.9922,450.140,209.874,447.153,222.518
denied,164.127,1789657664.714,10.7967,450.218,213.737,446.576,223.901
denied,164.227,1789657664.814,8.5891,450.286,217.772,446.021,225.228
denied,164.327,1789657664.914,6.8722,450.401,221.856,445.438,226.609
denied,164.427,1789657665.014,6.2874,450.549,225.345,444.843,227.986
denied,164.527,1789657665.114,6.3999,450.584,228.587,444.230,229.357
denied,164.627,1789657665.214,6.8380,450.446,231.069,443.619,230.666
denied,164.727,1789657665.314,7.3925,450.155,233.349,442.847,232.236
denied,164.828,1789657665.414,7.7926,449.791,235.183,442.177,233.524
denied,164.928,1789657665.514,8.1183,449.319,236.960,441.509,234.746
denied,165.032,1789657665.619,8.4741,448.833,238.459,440.661,236.218
denied,165.132,1789657665.719,8.7102,448.263,239.971,439.937,237.413
denied,165.233,1789657665.819,8.9366,447.711,241.289,439.191,238.595
denied,165.333,1789657665.920,9.2601,447.090,242.653,438.184,240.116
denied,165.432,1789657666.019,9.4748,446.500,243.866,437.388,241.267
denied,165.532,1789657666.119,9.6818,445.840,245.137,436.538,242.454
denied,165.633,1789657666.220,9.9185,445.199,246.289,435.631,243.675
denied,165.732,1789657666.319,10.0873,444.467,247.514,434.742,244.833
denied,165.832,1789657666.419,10.2989,443.762,248.633,433.799,246.024
denied,165.932,1789657666.519,10.4774,442.981,249.830,432.839,247.200
denied,166.032,1789657666.619,10.6768,442.229,250.919,431.863,248.362
denied,166.133,1789657666.720,10.8400,441.403,252.087,430.874,249.509
denied,166.233,1789657666.820,11.0410,440.623,253.156,429.872,250.643
denied,166.332,1789657666.919,11.1577,439.754,254.299,428.899,251.719
denied,166.432,1789657667.019,11.4721,438.941,255.347,427.710,253.005
denied,166.533,1789657667.119,11.5853,438.048,256.471,426.717,254.057
denied,166.633,1789657667.220,11.7715,437.208,257.498,425.674,255.143
denied,166.732,1789657667.319,11.8789,436.294,258.601,424.665,256.176
denied,166.839,1789657667.426,12.0677,435.440,259.613,423.607,257.244
denied,166.932,1789657667.519,12.1256,434.496,260.700,422.627,258.219
denied,167.033,1789657667.620,12.2993,433.614,261.702,421.557,259.272
denied,167.133,1789657667.720,12.4182,432.652,262.781,420.480,260.318
denied,167.233,1789657667.820,12.7553,431.745,263.770,419.182,261.566
denied,167.332,1789657667.919,12.6870,430.761,264.841,418.313,262.394
denied,167.434,1789657668.020,12.8450,429.841,265.827,417.222,263.424
denied,167.533,1789657668.120,13.0802,428.834,266.890,415.953,264.615
denied,167.632,1789657668.219,13.2023,427.905,267.871,414.900,265.597
denied,167.733,1789657668.319,13.2585,426.892,268.929,413.844,266.576
denied,167.833,1789657668.419,13.3705,425.949,269.904,412.786,267.554
denied,167.932,1789657668.519,13.4201,424.925,270.964,411.727,268.530
denied,168.032,1789657668.619,13.7057,423.968,271.941,410.446,269.708
denied,168.135,1789657668.722,13.7761,422.927,273.000,409.340,270.723
denied,168.234,1789657668.820,13.8740,421.963,273.982,408.278,271.698
denied,168.333,1789657668.920,13.9356,420.912,275.044,407.172,272.713
denied,168.433,1789657669.020,14.0254,419.941,276.023,406.111,273.687
denied,168.533,1789657669.120,14.0939,418.897,277.089,405.006,274.703
denied,168.632,1789657669.219,14.1763,417.920,278.071,403.947,275.679
denied,168.732,1789657669.319,14.2344,416.869,279.135,402.844,276.697
denied,168.832,1789657669.419,14.2553,415.837,280.090,401.787,277.676
denied,168.933,1789657669.520,13.1669,413.717,280.601,400.688,278.698
denied,169.032,1789657669.619,12.4983,411.854,281.105,399.415,279.885
denied,169.138,1789657669.725,11.8281,410.156,281.806,398.365,280.872
denied,169.233,1789657669.820,11.5018,408.802,282.562,397.322,281.866
denied,169.333,1789657669.920,11.3946,407.503,283.470,396.116,283.038
denied,169.434,1789657670.021,11.3208,406.411,284.371,395.095,284.053
denied,169.532,1789657670.119,11.2729,405.311,285.397,394.042,285.122
denied,169.632,1789657670.219,11.3511,404.350,286.381,393.000,286.202
denied,169.734,1789657670.321,11.3367,403.346,287.477,392.011,287.249
denied,169.832,1789657670.419,11.3756,402.446,288.510,391.073,288.260
denied,169.934,1789657670.521,11.4149,401.474,289.638,390.063,289.368
denied,170.032,1789657670.619,11.5156,400.575,290.694,389.061,290.484
denied,170.132,1789657670.719,11.6358,399.585,291.840,387.950,291.742
denied,170.232,1789657670.819,11.7070,398.672,292.912,386.965,292.872
denied,170.333,1789657670.920,11.6565,397.683,294.081,386.027,293.963
denied,170.433,1789657671.020,11.5934,396.686,295.249,385.094,295.058
denied,170.533,1789657671.119,11.5709,395.775,296.332,384.206,296.113
denied,170.634,1789657671.220,11.7766,394.870,297.415,383.093,297.448
denied,170.733,1789657671.320,11.7153,393.893,298.578,382.178,298.557
denied,170.832,1789657671.419,11.7731,393.003,299.653,381.230,299.716
denied,170.933,1789657671.520,11.6823,392.043,300.819,380.361,300.786
denied,171.033,1789657671.619,11.7360,391.157,301.892,379.421,301.952
denied,171.132,1789657671.719,11.6849,390.207,303.059,378.522,303.075
denied,171.233,1789657671.820,11.7477,389.336,304.136,377.589,304.248
denied,171.333,1789657671.920,11.8838,388.391,305.300,376.511,305.613
denied,171.435,1789657672.022,11.9116,387.528,306.383,375.621,306.745
denied,171.533,1789657672.120,11.8243,386.592,307.556,374.771,307.832
denied,171.633,1789657672.219,11.8477,385.729,308.636,373.886,308.968
denied,171.735,1789657672.322,12.0733,384.877,309.724,372.819,310.343
denied,171.833,1789657672.420,12.0653,383.950,310.897,371.901,311.530
denied,171.933,1789657672.520,12.0913,383.092,311.975,371.021,312.670
denied,172.032,1789657672.619,10.9514,381.008,312.443,370.142,313.812
denied,172.132,1789657672.719,10.3738,379.423,313.089,369.226,315.001
denied,172.233,1789657672.820,9.8072,377.956,313.949,368.387,316.096
denied,172.332,1789657672.919,9.7950,376.770,314.852,367.336,317.483
denied,172.434,1789657673.021,9.2421,375.244,315.566,366.510,318.589
denied,172.532,1789657673.119,8.2100,372.914,316.027,365.620,319.796
denied,172.633,1789657673.220,7.8980,371.122,316.649,364.635,321.154
denied,172.734,1789657673.321,7.1170,369.252,317.394,363.941,322.131
