phase,t_s,error_m,est_n,est_e,truth_n,truth_e
denied,105.691,288.4643,220.712,430.589,500.399,501.206
denied,105.800,288.1653,219.692,429.509,498.998,500.413
denied,105.900,287.9748,218.699,428.411,497.722,499.655
denied,106.000,287.8284,217.639,427.195,496.407,498.844
denied,106.099,288.1683,216.227,425.671,495.159,498.044
denied,106.200,288.6050,214.641,424.237,493.873,497.193
denied,106.299,288.8040,213.060,422.844,492.397,496.183
denied,106.400,289.4613,211.357,421.285,491.188,495.331
denied,106.500,289.9486,209.812,419.823,489.988,494.465
denied,106.600,290.3900,208.126,418.205,488.601,493.439
denied,106.701,291.0568,206.648,416.732,487.617,492.697
denied,106.799,291.3682,205.105,415.138,486.249,491.647
denied,106.901,291.6943,203.751,413.679,485.083,490.736
denied,107.000,292.0849,202.362,412.123,483.924,489.816
denied,107.100,292.2745,201.149,410.700,482.771,488.888
denied,107.200,292.2400,199.909,409.171,481.384,487.756
denied,107.300,292.3087,198.821,407.775,480.242,486.811
denied,107.402,292.4819,197.716,406.275,479.151,485.900
denied,107.511,292.2171,196.741,404.897,477.827,484.782
denied,107.609,292.1731,195.744,403.421,476.650,483.777
denied,107.712,291.9804,194.868,402.071,475.476,482.767
denied,107.812,291.9571,193.964,400.619,474.398,481.832
denied,107.911,291.7431,193.167,399.291,473.277,480.852
denied,108.019,291.4222,192.337,397.857,472.018,479.744
denied,108.117,291.0916,191.603,396.540,470.855,478.713
denied,108.217,290.8822,190.833,395.121,469.741,477.720
denied,108.325,290.3942,190.144,393.818,468.490,476.598
denied,108.423,290.1376,189.421,392.418,467.380,475.597
denied,108.524,289.7819,188.768,391.134,466.271,474.593
denied,108.623,289.4691,188.130,389.848,465.209,473.628
denied,108.723,288.8043,187.505,388.567,463.873,472.407
denied,108.823,288.4368,186.837,387.188,462.721,471.352
denied,108.927,288.0924,186.234,385.903,461.662,470.378
denied,109.024,287.6078,185.686,384.725,460.559,469.360
denied,109.129,287.1148,185.038,383.327,459.318,468.212
denied,109.223,286.5666,184.500,382.144,458.169,467.147
denied,109.329,285.9849,183.910,380.862,456.930,465.994
denied,109.428,285.6404,183.282,379.473,455.828,464.967
denied,109.528,285.2808,182.698,378.191,454.773,463.982
denied,109.628,285.2010,181.896,376.480,453.672,462.952
denied,109.728,284.7576,181.298,375.147,452.526,461.878
denied,109.828,284.2992,180.747,373.901,451.425,460.846
denied,109.929,283.6661,180.128,372.509,450.095,459.597
denied,110.028,283.3116,179.546,371.208,449.041,458.605
denied,110.143,282.9529,178.969,369.907,447.986,457.612
denied,110.273,282.2638,178.383,368.598,446.657,456.360
denied,110.373,281.9602,177.696,367.092,445.511,455.279
denied,110.473,281.5858,177.057,365.669,444.364,454.198
denied,110.573,281.2149,176.489,364.385,443.310,453.203
denied,110.673,280.9105,175.844,362.943,442.209,452.165
denied,110.774,280.5369,175.238,361.606,441.108,451.126
denied,110.873,279.8701,174.637,360.272,439.778,449.870
denied,110.973,279.5862,173.976,358.822,438.677,448.830
denied,111.073,279.1615,173.363,357.485,437.530,447.748
denied,111.182,278.7084,172.699,356.032,436.290,446.578
denied,111.278,278.5788,172.085,354.680,435.371,445.712
denied,111.399,278.0483,171.467,353.333,434.130,444.542
denied,111.502,277.7825,170.795,351.864,433.027,443.502
denied,111.600,277.4322,170.174,350.507,431.923,442.463
denied,111.699,277.1321,169.484,349.020,430.773,441.381
denied,111.799,276.8061,168.813,347.561,429.622,440.299
denied,111.900,276.1623,168.194,346.213,428.286,439.044
denied,111.999,275.9260,167.498,344.732,427.181,438.006
denied,112.099,275.5462,166.854,343.359,426.028,436.926
denied,112.199,275.3166,166.156,341.867,424.921,435.889
denied,112.300,274.9431,165.506,340.496,423.767,434.809
denied,112.399,274.7235,164.802,338.996,422.659,433.773
denied,112.499,274.4126,164.152,337.616,421.550,432.738
denied,112.599,273.9712,163.435,336.121,420.256,431.530
denied,112.699,273.6144,162.773,334.737,419.100,430.453
denied,112.799,273.3553,162.051,333.238,417.943,429.377
denied,112.899,273.0726,161.374,331.855,416.831,428.344
denied,113.009,272.7021,160.648,330.354,415.580,427.183
denied,113.109,272.3648,159.970,328.961,414.420,426.109
denied,113.221,272.0898,159.288,327.572,413.306,425.078
denied,113.317,271.8166,158.606,326.179,412.192,424.048
denied,113.417,271.6973,157.861,324.685,411.123,423.062
denied,113.517,271.2008,157.166,323.294,409.821,421.861
denied,113.617,271.0415,156.412,321.774,408.703,420.833
denied,113.732,270.8473,155.710,320.382,407.632,419.848
denied,113.831,270.3634,155.004,318.983,406.327,418.650
denied,113.931,270.0574,154.303,317.574,405.160,417.582
denied,114.033,269.8190,153.586,316.182,404.040,416.556
denied,114.131,269.6398,152.872,314.782,402.965,415.574
denied,114.231,269.4412,152.099,313.267,401.796,414.508
denied,114.331,268.9830,151.369,311.864,400.487,413.314
denied,114.431,268.9104,150.520,310.204,399.316,412.249
denied,114.531,268.7340,149.732,308.674,398.146,411.185
denied,114.633,268.4779,149.013,307.341,397.021,410.164
denied,114.731,268.3691,148.215,305.819,395.896,409.144
denied,114.831,268.1626,147.477,304.406,394.770,408.124
denied,114.931,267.7742,146.658,302.889,393.409,406.894
denied,115.033,267.6888,145.839,301.361,392.282,405.876
denied,115.132,267.4976,145.089,299.945,391.154,404.858
denied,115.230,267.2619,144.318,298.540,389.979,403.799
denied,115.331,267.1897,143.489,297.008,388.850,402.782
denied,115.431,267.0145,142.724,295.590,387.721,401.766
denied,115.530,266.8976,141.878,294.063,386.543,400.709
denied,115.631,266.5537,141.102,292.645,385.271,399.567
denied,115.731,266.5001,140.260,291.106,384.140,398.553
denied,115.830,266.1705,139.465,289.696,382.867,397.412
denied,115.930,266.0684,138.614,288.153,381.687,396.356
denied,116.030,265.9826,137.823,286.731,380.601,395.385
denied,116.132,265.6068,137.019,285.315,379.279,394.203
denied,116.231,265.5796,136.156,283.768,378.146,393.191
denied,116.331,265.4508,135.350,282.345,377.012,392.178
denied,116.431,265.4416,134.467,280.803,375.878,391.167
denied,116.538,265.1365,133.661,279.373,374.602,390.029
denied,116.638,265.1364,132.773,277.828,373.468,389.018
denied,116.738,265.0923,131.945,276.406,372.381,388.049
denied,116.838,265.0354,131.058,274.855,371.200,386.997
denied,116.938,264.6354,130.224,273.430,369.829,385.776
denied,117.037,264.6563,129.317,271.889,368.694,384.766
denied,117.138,264.5586,128.492,270.451,367.560,383.756
denied,117.238,264.5921,127.573,268.912,366.425,382.746
denied,117.338,264.5138,126.724,267.484,365.291,381.736
denied,117.437,264.1238,125.890,266.045,363.920,380.516
denied,117.537,264.1764,124.954,264.504,362.785,379.506
denied,117.639,264.0503,124.093,263.076,361.603,378.453
denied,117.739,264.0973,123.177,261.511,360.468,377.442
denied,117.838,263.8060,122.299,260.083,359.145,376.263
denied,117.938,263.9332,121.359,258.529,358.058,375.294
denied,118.038,263.8786,120.502,257.081,356.925,374.283
denied,118.137,263.9010,119.542,255.533,355.744,373.230
denied,118.238,263.8635,118.665,254.093,354.611,372.218
denied,118.342,263.5814,117.793,252.645,353.290,371.037
denied,118.442,263.5618,116.895,251.212,352.158,370.024
denied,118.542,263.6550,115.939,249.645,351.026,369.011
denied,118.642,263.5706,115.054,248.201,349.848,367.955
denied,118.742,263.6814,114.077,246.643,348.718,366.941
denied,118.843,263.6633,113.190,245.197,347.588,365.926
denied,118.942,263.7119,112.219,243.635,346.412,364.868
denied,119.042,263.4066,111.310,242.195,345.049,363.640
denied,119.143,263.6975,110.243,240.432,343.922,362.623
denied,119.242,263.7017,109.333,238.992,342.795,361.605
denied,119.343,263.8448,108.321,237.449,341.669,360.586
denied,119.442,263.8464,107.424,235.993,340.544,359.567
denied,119.544,263.9199,106.441,234.420,339.372,358.503
denied,119.642,263.6379,105.517,232.971,338.015,357.268
denied,119.742,263.7799,104.533,231.389,336.892,356.245
denied,119.842,263.8055,103.613,229.935,335.770,355.221
denied,119.942,263.9623,102.610,228.364,334.650,354.195
denied,120.042,263.9857,101.700,226.903,333.531,353.169
denied,120.143,263.8420,100.696,225.325,332.179,351.927
denied,120.243,263.8250,99.761,223.872,331.016,350.855
denied,120.344,263.9250,98.769,222.282,329.854,349.781
denied,120.448,264.0392,97.830,220.824,328.786,348.792
denied,120.547,264.2214,96.814,219.240,327.673,347.759
denied,120.649,263.9567,95.901,217.764,326.330,346.509
denied,120.748,264.1501,94.875,216.183,325.221,345.473
denied,120.848,264.2706,93.938,214.720,324.159,344.479
denied,120.947,264.2551,93.026,213.244,323.006,343.398
denied,121.047,264.4605,91.991,211.663,321.901,342.358
denied,121.147,264.3376,91.134,210.313,320.751,341.273
denied,121.248,264.4668,90.132,208.713,319.604,340.186
denied,121.347,264.3037,89.176,207.250,318.320,338.967
denied,121.447,264.5050,88.163,205.653,317.222,337.921
denied,121.547,264.5771,87.232,204.173,316.125,336.873
denied,121.647,264.7991,86.195,202.582,315.029,335.825
denied,121.747,264.8210,85.255,201.101,313.888,334.732
denied,121.847,265.0308,84.239,199.502,312.794,333.681
denied,121.947,264.9976,83.183,197.847,311.472,332.412
denied,122.051,265.0821,82.241,196.372,310.378,331.361
denied,122.147,265.2661,81.169,194.802,309.239,330.266
denied,122.247,265.3754,80.189,193.346,308.145,329.215
denied,122.347,265.6644,79.150,191.759,307.095,328.208
denied,122.450,265.5851,78.073,190.112,305.725,326.897
denied,122.547,265.7683,77.072,188.669,304.673,325.892
denied,122.650,265.8853,76.078,187.222,303.575,324.846
denied,122.747,266.1381,74.996,185.660,302.475,323.801
denied,122.847,266.2094,73.971,184.234,301.327,322.715
denied,122.947,266.4647,72.881,182.681,300.222,321.675
denied,123.047,266.5420,71.842,181.266,299.069,320.595
denied,123.148,266.5160,70.701,179.741,297.728,319.346
denied,123.247,266.7139,69.661,178.333,296.661,318.359
denied,123.347,266.8722,68.581,176.947,295.545,317.333
denied,123.448,266.8598,67.405,175.449,294.192,316.098
denied,123.547,267.2014,66.325,174.067,293.208,315.208
denied,123.647,267.4597,65.107,172.594,292.033,314.153
denied,123.747,267.3944,63.974,171.241,290.712,312.977
denied,123.847,267.6476,62.755,169.775,289.528,311.934
denied,123.947,267.9912,61.485,168.336,288.386,310.938
denied,124.047,268.1183,60.403,167.122,287.288,309.988
denied,124.147,268.4612,59.133,165.682,286.137,309.003
denied,124.247,268.6493,57.872,164.400,284.932,307.983
denied,124.348,268.8170,56.646,163.099,283.722,306.971
denied,124.447,269.1323,55.312,161.691,282.506,305.965
denied,124.547,269.0970,54.002,160.431,281.089,304.808
denied,124.647,269.5017,52.616,159.052,279.910,303.858
denied,124.747,269.7001,51.327,157.788,278.676,302.877
denied,124.847,270.1337,49.888,156.438,277.485,301.942
denied,124.947,270.3588,48.550,155.199,276.240,300.977
denied,125.056,270.9329,47.084,153.861,275.138,300.134
denied,125.156,270.9404,45.687,152.650,273.679,299.033
denied,125.258,271.4138,44.175,151.336,272.465,298.131
denied,125.356,271.7406,42.766,150.134,271.246,297.238
denied,125.457,271.9310,41.197,148.851,269.766,296.169
denied,125.556,272.2765,39.756,147.663,268.535,295.293
denied,125.656,272.8584,38.160,146.395,267.350,294.462
denied,125.757,273.2296,36.671,145.237,266.109,293.603
denied,125.856,273.5426,35.175,144.080,264.810,292.718
denied,125.956,273.7579,33.630,142.947,263.401,291.771
denied,126.056,274.3022,31.985,141.713,262.144,290.939
denied,126.156,274.6918,30.464,140.572,260.882,290.114
denied,126.256,275.1978,28.777,139.358,259.563,289.264
denied,126.357,275.2965,27.212,138.246,258.027,288.289
denied,126.456,276.1048,25.541,137.033,256.964,287.623
denied,126.556,276.2141,23.955,135.937,255.417,286.667
denied,126.659,276.9215,22.200,134.697,254.187,285.917
denied,126.756,277.3842,20.648,133.594,252.953,285.173
denied,126.856,277.9282,18.887,132.436,251.609,284.372
denied,126.956,278.0287,17.311,131.350,250.045,283.451
denied,127.056,278.5411,15.603,130.172,248.694,282.665
denied,127.157,278.9036,14.005,129.104,247.339,281.886
denied,127.256,279.4233,12.281,127.942,245.982,281.113
denied,127.356,279.8439,10.696,126.865,244.677,280.376
denied,127.456,280.3828,8.943,125.716,243.315,279.614
denied,127.556,280.7480,7.346,124.649,241.951,278.857
denied,127.659,281.3226,5.637,123.489,240.641,278.134
denied,127.756,281.5612,4.041,122.430,239.166,277.326
denied,127.856,281.9666,2.478,121.360,237.854,276.612
denied,127.956,282.7168,0.702,120.101,236.596,275.930
denied,128.057,283.2442,-1.032,118.960,235.229,275.191
denied,128.161,283.3873,-2.570,117.885,233.697,274.366
denied,128.257,283.7646,-4.084,116.801,232.384,273.660
denied,128.356,284.1531,-5.619,115.729,231.072,272.956
denied,128.457,284.7333,-7.235,114.547,229.816,272.281
denied,128.556,285.0219,-8.706,113.453,228.450,271.548
denied,128.657,285.1527,-10.296,112.267,226.814,270.667
denied,128.757,285.7321,-11.737,111.160,225.724,270.080
denied,128.856,285.9075,-13.294,109.959,224.145,269.226
denied,128.962,286.2392,-14.728,108.848,222.841,268.517
denied,129.056,286.6182,-16.135,107.724,221.592,267.836
denied,129.156,286.7874,-17.672,106.507,220.020,266.973
denied,129.256,287.1092,-19.079,105.376,218.722,266.256
denied,129.356,287.5615,-20.568,104.134,217.425,265.536
denied,129.457,287.8604,-21.936,102.987,216.132,264.812
denied,129.556,288.2975,-23.400,101.735,214.841,264.084
denied,129.656,288.3336,-24.731,100.565,213.339,263.228
denied,129.756,288.7590,-26.168,99.296,212.054,262.489
denied,129.856,288.9676,-27.476,98.114,210.720,261.713
denied,129.956,289.2232,-28.757,96.918,209.443,260.962
denied,130.056,289.6192,-30.138,95.620,208.170,260.205
denied,130.158,289.7985,-31.392,94.410,206.848,259.410
denied,130.256,289.9311,-32.730,93.080,205.373,258.510
denied,130.356,290.1055,-33.963,91.849,204.061,257.698
denied,130.456,290.5382,-35.278,90.501,202.859,256.944
denied,130.556,290.7676,-36.475,89.231,201.609,256.149
denied,130.658,290.9365,-37.673,87.959,200.313,255.312
denied,130.756,291.3059,-38.947,86.557,199.074,254.500
denied,130.856,291.4564,-40.098,85.252,197.789,253.645
denied,130.956,291.5598,-41.333,83.828,196.359,252.676
denied,131.056,291.7614,-42.449,82.494,195.140,251.835
denied,131.156,292.0972,-43.642,81.039,193.927,250.985
denied,131.256,291.9842,-44.726,79.674,192.472,249.944
denied,131.357,292.3099,-45.879,78.182,191.275,249.072
denied,131.460,292.5514,-46.921,76.790,190.135,248.226
denied,131.557,292.5381,-47.945,75.387,188.807,247.221
denied,131.656,292.8499,-49.033,73.836,187.635,246.316
denied,131.756,293.0133,-50.015,72.394,186.471,245.401
denied,131.857,293.3078,-51.063,70.824,185.316,244.474
denied,131.957,293.3984,-51.998,69.341,184.122,243.497
denied,132.056,293.5504,-52.922,67.849,182.985,242.547
denied,132.156,293.6487,-53.900,66.212,181.718,241.465
denied,132.256,293.7284,-54.773,64.676,180.556,240.450
denied,132.356,294.0032,-55.705,63.000,179.451,239.463
denied,132.456,294.1379,-56.537,61.429,178.357,238.465
denied,132.556,294.3340,-57.414,59.719,177.229,237.412
denied,132.656,294.1493,-58.197,58.113,175.936,236.174
denied,132.757,294.4655,-59.024,56.352,174.922,235.180
denied,132.856,294.5781,-59.752,54.702,173.876,234.130
denied,132.956,294.6255,-60.464,53.045,172.800,233.023
denied,133.056,294.6155,-61.208,51.231,171.611,231.767
denied,133.158,294.7801,-61.911,49.385,170.564,230.632
denied,133.256,294.8142,-62.546,47.673,169.533,229.482
denied,133.358,294.8446,-63.138,45.921,168.517,228.319
denied,133.457,295.3203,-63.865,43.728,167.556,227.189
denied,133.557,295.4047,-64.376,41.903,166.611,226.046
denied,133.656,295.5375,-64.873,40.090,165.720,224.939
denied,133.756,295.6725,-65.378,38.101,164.769,223.721
denied,133.856,295.5026,-65.809,36.233,163.724,222.341
denied,133.958,295.6340,-66.232,34.177,162.812,221.094
denied,134.056,295.6922,-66.582,32.255,161.955,219.883
denied,134.156,295.8077,-66.944,30.177,161.082,218.609
denied,134.256,295.6685,-67.225,28.234,160.162,217.217
denied,134.359,295.8209,-67.506,26.127,159.366,215.966
denied,134.457,295.8452,-67.724,24.160,158.591,214.702
denied,134.556,295.9200,-67.914,22.010,157.805,213.371
denied,134.656,295.9288,-68.066,20.024,157.074,212.081
denied,134.756,295.9275,-68.158,17.825,156.307,210.669
denied,134.856,295.8613,-68.223,15.805,155.595,209.297
denied,134.956,295.8979,-68.239,13.592,154.909,207.912
denied,135.056,295.8714,-68.207,11.528,154.277,206.569
denied,135.157,295.8906,-68.121,9.272,153.645,205.157
denied,135.272,295.7356,-67.998,7.178,153.020,203.674
denied,135.373,295.6314,-67.828,5.065,152.448,202.235
denied,135.472,295.6238,-67.561,2.727,151.908,200.784
denied,135.577,295.5075,-67.272,0.556,151.401,199.320
denied,135.677,295.5923,-66.863,-1.854,150.963,197.962
denied,135.776,295.2501,-66.445,-4.082,150.453,196.238
denied,135.876,295.2123,-65.937,-6.505,150.052,194.739
denied,135.976,295.0688,-65.402,-8.764,149.688,193.231
denied,136.077,295.0670,-64.767,-11.224,149.374,191.774
denied,136.183,295.0094,-64.071,-13.554,149.108,190.371
denied,136.282,294.9858,-63.276,-16.069,148.866,188.900
denied,136.382,294.6229,-62.470,-18.412,148.626,187.114
denied,136.483,294.5823,-61.516,-20.970,148.471,185.631
denied,136.583,294.4997,-60.605,-23.312,148.361,184.205
denied,136.682,294.2570,-59.862,-25.470,148.281,182.529
denied,136.782,294.2087,-59.237,-27.479,148.257,181.099
denied,136.882,294.2033,-58.606,-29.573,148.274,179.607
denied,136.983,293.8693,-58.115,-31.368,148.359,177.743
denied,137.085,293.8649,-57.598,-33.242,148.479,176.254
denied,137.182,293.7412,-57.108,-34.924,148.654,174.709
denied,137.282,293.7191,-56.557,-36.701,148.869,173.231
denied,137.382,293.6208,-56.016,-38.306,149.131,171.760
denied,137.482,293.5051,-55.391,-40.008,149.469,170.178
denied,137.582,293.3982,-54.790,-41.543,149.828,168.728
denied,137.683,293.2986,-54.084,-43.175,150.252,167.231
denied,137.785,293.1359,-53.343,-44.769,150.765,165.632
denied,137.882,292.9854,-52.631,-46.202,151.292,164.169
denied,137.994,292.9082,-51.886,-47.601,151.794,162.897
denied,138.094,292.8018,-51.023,-49.088,152.384,161.527
denied,138.194,292.5143,-50.257,-50.315,153.153,159.897
denied,138.300,292.4352,-49.310,-51.733,153.776,158.681
denied,138.408,292.2300,-48.399,-53.012,154.587,157.214
denied,138.508,292.0979,-47.388,-54.348,155.349,155.935
denied,138.608,291.9442,-46.428,-55.545,156.148,154.679
denied,138.708,291.7932,-45.346,-56.804,156.984,153.448
denied,138.809,291.5774,-44.318,-57.930,158.040,151.995
denied,138.909,291.4155,-43.272,-59.019,158.990,150.774
denied,139.009,291.2595,-42.116,-60.160,159.975,149.581
denied,139.109,291.1133,-41.029,-61.172,160.911,148.511
denied,139.208,290.9590,-39.841,-62.231,162.002,147.332
denied,139.308,290.8102,-38.713,-63.172,163.039,146.273
denied,139.419,290.6460,-37.382,-64.228,164.237,145.116
denied,139.523,290.5162,-36.240,-65.096,165.284,144.159
denied,139.623,290.3847,-35.000,-65.997,166.447,143.150
denied,139.723,290.2716,-33.847,-66.790,167.588,142.210
denied,139.830,290.1293,-32.573,-67.609,168.752,141.300
denied,139.930,290.0358,-31.390,-68.335,170.036,140.348
denied,140.030,289.9329,-30.196,-69.028,171.243,139.499
denied,140.129,289.8669,-28.895,-69.747,172.726,138.512
denied,140.230,289.7812,-27.685,-70.375,173.974,137.728
denied,140.330,289.7064,-26.473,-70.975,175.238,136.973
denied,140.429,289.6222,-25.157,-71.595,176.572,136.218
denied,140.529,289.5533,-23.837,-72.217,177.868,135.523
denied,140.629,289.5128,-22.372,-72.952,179.234,134.829
denied,140.730,289.4120,-20.679,-73.806,180.558,134.192
denied,140.831,289.3797,-19.070,-74.602,181.950,133.559
denied,140.929,289.4595,-17.445,-75.401,183.582,132.865
denied,141.030,289.4409,-15.819,-76.169,184.945,132.324
denied,141.129,289.4169,-14.203,-76.913,186.262,131.835
denied,141.229,289.4015,-12.473,-77.668,187.704,131.336
denied,141.329,289.4546,-10.896,-78.325,189.157,130.871
denied,141.430,289.4574,-8.983,-79.029,190.854,130.377
denied,141.529,289.4489,-7.465,-79.655,192.032,130.064
denied,141.630,289.7112,-5.981,-80.208,193.749,129.650
denied,141.732,289.8446,-4.539,-80.665,195.238,129.332
denied,141.831,289.9117,-3.003,-81.124,196.674,129.061
denied,141.930,290.0139,-1.494,-81.519,198.175,128.814
denied,142.029,290.1883,-0.125,-81.841,199.682,128.602
denied,142.135,290.3093,1.213,-82.122,201.072,128.439
denied,142.235,290.4180,2.643,-82.336,202.586,128.295
denied,142.335,290.5873,4.017,-82.543,204.104,128.185
denied,142.435,290.8772,5.240,-82.738,205.623,128.108
denied,142.535,291.0322,6.535,-82.837,207.083,128.066
denied,142.635,291.4645,7.701,-82.874,208.849,128.055
denied,142.736,291.7276,8.821,-82.889,210.310,128.078
denied,142.837,291.8734,10.010,-82.841,211.710,128.127
denied,142.943,292.2962,11.161,-82.742,213.474,128.224
denied,143.045,292.3877,12.197,-82.608,214.689,128.313
denied,143.145,292.7086,13.210,-82.430,216.207,128.450
denied,143.245,293.1466,14.249,-82.219,217.903,128.636
denied,143.353,293.4180,15.190,-81.985,219.294,128.812
denied,143.453,293.7444,16.104,-81.714,220.743,129.019
denied,143.552,294.2828,17.047,-81.406,222.490,129.297
denied,143.651,294.6512,17.897,-81.089,223.932,129.550
denied,143.752,294.9460,18.804,-80.708,225.370,129.823
denied,143.855,295.3653,19.632,-80.338,226.865,130.126
denied,143.952,295.6818,20.493,-79.910,228.297,130.436
denied,144.062,296.3711,21.290,-79.492,230.081,130.847
denied,144.161,296.7451,22.134,-79.024,231.563,131.207
denied,144.260,297.1426,22.905,-78.575,232.983,131.569
denied,144.352,297.4186,23.591,-78.160,234.163,131.881
denied,144.452,298.0214,24.406,-77.649,235.870,132.351
denied,144.552,298.4586,25.134,-77.180,237.279,132.753
denied,144.653,298.8288,25.960,-76.629,238.743,133.185
denied,144.754,299.2579,26.743,-76.107,240.204,133.630
denied,144.852,299.6267,27.526,-75.568,241.602,134.068
denied,144.953,300.0882,28.373,-74.984,243.171,134.574
denied,145.052,300.5100,29.165,-74.434,244.620,135.053
denied,145.152,300.8712,29.958,-73.870,246.008,135.524
denied,145.253,301.2248,30.810,-73.270,247.450,136.024
denied,145.351,301.5911,31.605,-72.701,248.830,136.513
denied,145.451,301.9146,32.485,-72.071,250.265,137.032
denied,145.552,302.3191,33.302,-71.486,251.696,137.561
denied,145.652,302.6458,34.185,-70.852,253.123,138.100
denied,145.751,302.9932,35.005,-70.257,254.490,138.625
denied,145.852,303.2598,35.897,-69.614,255.853,139.159
denied,145.951,303.8796,36.730,-69.003,257.495,139.816
denied,146.056,304.2183,37.556,-68.383,258.850,140.369
denied,146.157,304.4692,38.462,-67.715,260.202,140.931
denied,146.260,304.9841,39.291,-67.092,261.717,141.574
denied,146.361,305.2331,40.191,-66.404,263.061,142.154
denied,146.467,305.5687,41.027,-65.767,264.400,142.744
denied,146.566,305.8768,41.923,-65.065,265.790,143.367
denied,146.666,306.2073,42.755,-64.406,267.121,143.976
denied,146.766,306.4612,43.646,-63.694,268.447,144.593
denied,146.866,307.0868,44.469,-63.020,270.043,145.351
denied,146.966,307.4827,45.288,-62.341,271.413,146.016
denied,147.066,307.8049,46.163,-61.609,272.778,146.692
denied,147.167,308.0596,47.036,-60.857,274.083,147.350
denied,147.266,308.3550,47.831,-60.162,275.329,147.990
denied,147.366,308.7089,48.624,-59.460,276.623,148.668
denied,147.466,309.2826,49.466,-58.695,278.180,149.501
denied,147.570,309.5884,50.242,-57.981,279.409,150.172
denied,147.672,309.8782,51.071,-57.208,280.686,150.882
denied,147.771,310.1046,51.933,-56.375,281.956,151.602
denied,147.872,310.8126,52.662,-55.662,283.483,152.487
denied,147.971,311.1653,53.429,-54.902,284.739,153.231
denied,148.072,311.5511,54.167,-54.155,285.989,153.986
denied,148.173,311.9830,54.949,-53.342,287.335,154.816
denied,148.270,312.4068,55.608,-52.646,288.519,155.561
denied,148.377,312.8445,56.370,-51.812,289.850,156.415
denied,148.477,313.3241,57.065,-51.052,291.122,157.249
denied,148.584,313.6024,57.808,-50.222,292.284,158.027
denied,148.688,314.2228,58.508,-49.401,293.690,158.987
denied,148.784,314.6422,59.224,-48.564,294.936,159.858
denied,148.884,314.9823,59.935,-47.690,296.124,160.706
denied,148.984,315.4871,60.574,-46.890,297.352,161.601
denied,149.084,315.9719,61.189,-46.121,298.522,162.471
denied,149.185,316.4911,61.807,-45.315,299.732,163.390
denied,149.286,317.0522,62.536,-44.329,301.124,164.472
denied,149.385,317.2649,63.145,-43.504,302.076,165.228
denied,149.483,317.9882,63.761,-42.633,303.444,166.337
denied,149.583,318.5982,64.292,-41.860,304.613,167.307
denied,149.684,318.9223,64.922,-40.950,305.678,168.210
denied,149.784,319.4748,65.474,-40.113,306.826,169.203
denied,149.885,319.9542,66.024,-39.256,307.917,170.168
denied,149.984,320.4097,66.621,-38.324,309.043,171.185
denied,150.083,320.9594,67.150,-37.458,310.158,172.214
denied,150.184,321.5593,67.747,-36.470,311.392,173.381
denied,150.283,322.0431,68.295,-35.529,312.481,174.435
denied,150.384,322.4834,68.788,-34.644,313.472,175.416
denied,150.483,323.0334,69.280,-33.743,314.537,176.494
denied,150.584,323.4644,69.796,-32.782,315.548,177.539
denied,150.683,323.9652,70.260,-31.872,316.547,178.595
denied,150.783,324.6839,70.761,-30.880,317.738,179.886
denied,150.884,325.1587,71.257,-29.883,318.749,181.010
denied,150.984,325.6637,71.685,-28.948,319.708,182.101
denied,151.084,326.2373,72.085,-28.090,320.653,183.202
denied,151.184,326.7343,72.507,-27.147,321.586,184.313
denied,151.284,327.3436,72.886,-26.239,322.543,185.481
denied,151.384,327.8211,73.333,-25.214,323.485,186.660
denied,151.483,328.5788,73.715,-24.278,324.523,187.993
denied,151.588,329.0649,74.128,-23.240,325.434,189.195
denied,151.688,329.5708,74.505,-22.289,326.294,190.359
denied,151.788,330.0623,74.903,-21.257,327.175,191.582
denied,151.902,330.6933,75.248,-20.295,328.074,192.864
denied,152.004,331.1311,75.628,-19.265,328.889,194.058
denied,152.110,331.7013,75.961,-18.303,329.722,195.313
denied,152.202,332.2215,76.279,-17.343,330.506,196.526
denied,152.302,332.7890,76.601,-16.381,331.306,197.801
denied,152.402,333.2381,76.924,-15.334,332.059,199.034
denied,152.502,333.8098,77.214,-14.361,332.826,200.329
denied,152.603,334.1700,77.549,-13.209,333.547,201.581
denied,152.702,334.6963,77.833,-12.179,334.279,202.896
denied,152.803,335.5006,78.082,-11.203,335.107,204.433
denied,152.902,336.0166,78.333,-10.229,335.773,205.715
denied,153.002,336.5396,78.566,-9.256,336.422,207.006
denied,153.103,336.9874,78.797,-8.175,337.054,208.305
denied,153.203,337.4818,79.017,-7.167,337.668,209.613
denied,153.301,337.9719,79.223,-6.064,338.289,210.984
denied,153.402,338.7419,79.404,-5.047,338.984,212.586
denied,153.502,339.1687,79.596,-3.946,339.539,213.920
denied,153.602,339.7182,79.752,-2.924,340.097,215.317
denied,153.702,340.1432,79.908,-1.806,340.614,216.666
denied,153.802,340.6800,80.046,-0.776,341.131,218.078
denied,153.902,341.1508,80.178,0.346,341.628,219.498
denied,154.002,341.7464,80.280,1.290,342.103,220.925
denied,154.103,342.2703,80.384,2.324,342.556,222.358
denied,154.202,342.6829,80.476,3.450,342.971,223.740
denied,154.302,343.1461,80.555,4.493,343.366,225.127
denied,154.402,343.7993,80.617,5.546,343.801,226.752
denied,154.502,344.1529,80.657,6.689,344.137,228.093
denied,154.629,344.4862,80.701,7.990,344.481,229.554
